title,subtitle,author,content,link,category
‘Age of AI’: Yuval Noah Harari talks to Aamir Khan on his latest book ‘Nexus’,The event was hosted by Crossword Bookstores in collaboration with Penguin Random House India,The Hindu Bureau,"‘Age of AI’: Yuval Noah Harari talks to Aamir Khan on his latest book ‘Nexus’ The event was hosted by Crossword Bookstores in collaboration with Penguin Random House India Yuval Noah Harari, renowned historian and the celebrated author behind books such as ‘Sapiens: A Brief History of Humankind’ and ‘Homo Deus: A Brief History of Tomorrow’, on Saturday spoke about his latest book ‘Nexus: A Brief History of Information Networks from the Stone Age to AI’ in a compelling discussion with Bollywood superstar Aamir Khan. Hosted by Crossword Bookstores, in collaboration with Penguin Random House India, at The Lalit Mumbai, the event was moderated by psychiatrist Dr Rajesh Parikh.",https://www.thehindu.com/entertainment/movies/age-of-ai-yuval-noah-harari-talks-to-aamir-khan-on-his-latest-book-nexus/article68961483.ece,science
"Can science’s peer-review system guarantee academic rigour?
Premium","Peer review is often assumed to guarantee quality, but it doesn’t always work well in practice.","Ludo Waltman,","Can science’s peer-review system guarantee academic rigour?
Premium Peer review is often assumed to guarantee quality, but it doesn’t always work well in practice. Peer review is a central feature of academic work. It’s the process through which research ends up published in an academic journal: independent experts scrutinise the work of another researcher in order to recommend if it should be accepted by a publisher and if and how it should be improved. Peer review is often assumed to guarantee quality, but it doesn’t always work well in practice. Every academic has their own peer-review horror stories, ranging from years-long delays to multiple tedious rounds of revisions. The cycle continues until the article is accepted somewhere or until the author gives up.",https://www.thehindu.com/sci-tech/science/can-sciences-peer-review-system-guarantee-academic-rigour/article68950280.ece,science
The first man to experience jet streams,"On December 7, 1934, high-altitude flight pioneer Wiley Post attempted to set a new world altitude record. Despite reaching unheard-of heights of 50,000 feet, Post’s record remained unofficial. The flight, however, enabled Post to experience jet streams first hand. A.S.Ganesh speeds through jet streams to tell you more about Post…",A.S.Ganesh,"The first man to experience jet streams On December 7, 1934, high-altitude flight pioneer Wiley Post attempted to set a new world altitude record. Despite reaching unheard-of heights of 50,000 feet, Post’s record remained unofficial. The flight, however, enabled Post to experience jet streams first hand. A.S.Ganesh speeds through jet streams to tell you more about Post… Do you know what jet streams are? No no, these aren’t the streams of jet that you can see when a flight cruises at speed. Don’t confuse it with an ocean current of drifting seawater either. A jet stream is a fast-moving, narrow current of air meandering in the atmosphere. It isn’t unique to Earth, and occurs in the atmosphere of several planets, including Jupiter, Saturn, Uranus, and Neptune. On Earth, jet streams encircle the globe and are westerly winds, meaning they flow from west to east. They are located near the tropopause, which is the atmospheric boundary demarcating the troposphere and stratosphere – the two lowest layers of the Earth’s atmosphere.",https://www.thehindu.com/children/the-first-man-to-experience-jet-streams/article68926490.ece,science
ISRO successfully launches PSLV-C59 rocket with European Space Agency’s Proba-3 satellites,"The spacecraft has been placed in the right orbit, says ISRO Chairman S. Somanath",Sangeetha Kandavel,"ISRO successfully launches PSLV-C59 rocket with European Space Agency’s Proba-3 satellites The spacecraft has been placed in the right orbit, says ISRO Chairman S. Somanath After being rescheduled for a day due to an anomaly detected, the Indian Space Research Organisation (ISRO) on Thursday successfully launched the European Space Agency’s (ESA) Proba-3 mission aboard the Polar Satellite Launch Vehicle (PSLV)-C59 rocket. The vehicle took off with a powerful roar, precisely at 4.04 p.m. from the first launch pad at the Satish Dhawan Space Centre, Sriharikota, the home to several rocket launches in India. “The PSLV-C59/PROBA-3 mission is successfully accomplished. The spacecraft has been placed in the right orbit,” ISRO Chairman S. Somanath said. ISRO said the mission had successfully achieved its launch objectives, deploying ESA’s satellites into their designated orbit with precision.",https://www.thehindu.com/sci-tech/science/isro-successfully-launches-pslv-c59-rocket-with-european-space-agencys-proba-3-satellites/article68950571.ece,science
Unpredictable rainfall makes farming in Marathwada even harder,"In the last two decades, annual rainfall over Marathwada has been stable but the timing and intensity of rains have become erratic","Lakshmikantha  NR ,","Unpredictable rainfall makes farming in Marathwada even harder In the last two decades, annual rainfall over Marathwada has been stable but the timing and intensity of rains have become erratic In Maharashtra’s Jalna district, Dada Rao Ghatode, a farmer from Babultara village, owns eight acres of land where he grows soybean, cotton, and pigeon pea (tur) during the kharif season (July to October). This season, he expected at least ₹80,000 in return from four acres of soybean. However, a single day of heavy rains in September ruined nearly 80% of his crop. This was not an isolated incident. Across Marathwada, farmers are grappling with unpredictable changes in rainfall distribution, which are threatening their livelihoods. Jalna, along with all other districts in Marathwada, has experienced a sharp increase in extreme rainfall events, disrupting traditional farming practices and water management systems.",https://www.thehindu.com/data/unpredictable-rainfall-makes-farming-in-marathwada-even-harder/article68946766.ece,science
"Genetic enigma: two new studies reveal why some cats are orange
Premium","The studies are examples of good, basic, solid research that only aims to satisfy scientific curiosity without knowing its immediate applications",Lluís Montoliu,"Genetic enigma: two new studies reveal why some cats are orange
Premium The studies are examples of good, basic, solid research that only aims to satisfy scientific curiosity without knowing its immediate applications Garfield, star of the eponymous comic strip created by Jim Davis in 1978, is, like many of the cats that roam our homes, orange. He is orange in the same way that some people are redheaded, some horses are brown, or some dogs are Irish setters, but there is one important difference. For all other animals, including redheaded humans, we know what causes this characteristic colour, but surprisingly, we didn’t know what causes it in cats – and felines in general – until now.",https://www.thehindu.com/sci-tech/science/genetic-enigma-two-new-studies-reveal-why-some-cats-are-orange/article68953712.ece,science
Sci-Five | The Hindu Science Quiz: On Antarctica,This week’s sci-five quiz is on Antarctica.,Arkatapa Basu,"Sci-Five | The Hindu Science Quiz: On Antarctica This week’s sci-five quiz is on Antarctica. Published - December 05, 2024 05:30 pm IST The Hindu Quizzes
                    
                            /                      
                        
                        science (general)
                    
                            /                      
                        
                        Antarctica",https://www.thehindu.com/sci-tech/science/sci-five-the-hindu-science-quiz-on-antarctica/article68950557.ece,science
NASA announces further delays in Artemis moon missions,Advisers to Trump’s transition effort are eager to upend the Artemis program and focus more heavily on Mars using SpaceX’s Starship,Miscellaneous,"NASA announces further delays in Artemis moon missions Advisers to Trump’s transition effort are eager to upend the Artemis program and focus more heavily on Mars using SpaceX’s Starship NASA Administrator Bill Nelson announced on Thursday new delays in the U.S. space agency’s Artemis program to return astronauts to the moon for the first time since 1972, pushing back the next two planned missions amid potential policy changes under President-elect Donald Trump‘s administration. Nelson told a news conference at NASA headquarters that the next Artemis mission, sending astronauts around the moon and back, has slipped to April 2026, with the subsequent astronaut landing mission using SpaceX’s Starship planned for the following year.",https://www.thehindu.com/sci-tech/science/nasa-announces-further-delays-in-artemis-moon-missions/article68954229.ece,science
"4-billion-year-old crystal offers oldest evidence of water on Mars
Premium","Determining when water first appeared, where and for how long, are all burning questions that drive Mars exploration.",Aaron J. Snoswell,"4-billion-year-old crystal offers oldest evidence of water on Mars
Premium Determining when water first appeared, where and for how long, are all burning questions that drive Mars exploration. Water is ubiquitous on Earth – about 70% of Earth’s surface is covered by the stuff. Water is in the air, on the surface and inside rocks. Geologic evidence suggests water has been stable on Earth since about 4.3 billion years ago. The history of water on early Mars is less certain. Determining when water first appeared, where and for how long, are all burning questions that drive Mars exploration. If Mars was once habitable, some amount of water was required.",https://www.thehindu.com/sci-tech/science/4-billion-year-old-crystal-offers-oldest-evidence-of-water-on-mars/article68950481.ece,science
ISRO ties up with European Space Agency for Gaganyaan missions,"The tie-up enables the ESA to provide ground station support for Gaganyaan missions, which will ensure continuity in data flow and communication with the Orbital Module for monitoring and orbital operations",The Hindu Bureau,"ISRO ties up with European Space Agency for Gaganyaan missions The tie-up enables the ESA to provide ground station support for Gaganyaan missions, which will ensure continuity in data flow and communication with the Orbital Module for monitoring and orbital operations Indian Space Research Organisation (ISRO) and European Space Agency (ESA) signed a Technical Implementing Plan (TIP) document for Ground Tracking Support for India’s Gaganyaan missions. The TIP enables the ESA to provide ground station support for Gaganyaan missions, which will ensure continuity in data flow and communication with the Orbital Module for monitoring and orbital operations.",https://www.thehindu.com/sci-tech/science/isro-ties-up-with-european-space-agency-for-gaganyaan-missions/article68954151.ece,science
"New insights into how Long COVID affects the brain
Premium",No Subtitle,Rajeev  Jayadevan,"New insights into how Long COVID affects the brain
Premium No Subtitle Long COVID is a condition marked by multiple persistent symptoms that sometimes occur even after mild infections. Among these, memory loss, brain fog and sleep disturbances indicate brain involvement. MRI scans done before and after COVID-19 show shrinkage in certain brain regions, pointing to tissue loss. This raises crucial questions: how does a respiratory virus go on to affect the brain? And what drives brain inflammation in these patients? Two recent papers provide insights into how the virus might indirectly affect the brain. A study published in Cell Host & Microbe concludes that continued presence of the virus spike protein could be triggering inflammation and neurodegenerative changes in the brain. The spike also activates inflammatory pathways. When researchers injected spike protein into the skulls of mice, they observed brain inflammation along with behavioural changes.",https://www.thehindu.com/sci-tech/science/new-insights-into-how-long-covid-affects-the-brain/article68955259.ece,science
"Preventing malaria using genetically modified malaria parasites
Premium",Genetically modified malaria-causing parasites do not cause disease; they instead prime the immune system during the initial stage of their life cycle in the liver,R. Prasad,"Preventing malaria using genetically modified malaria parasites
Premium Genetically modified malaria-causing parasites do not cause disease; they instead prime the immune system during the initial stage of their life cycle in the liver Two vaccines against malaria have been rolled out in some countries in Africa. Besides vaccines, scientists have been using genetically altered mosquitoes to stop the spread of malaria. One is the release of radiation-sterilised male mosquitoes to prevent eggs from hatching. Another is engineering mosquitoes that slow the growth of malaria-causing parasites in the gut thereby preventing transmission of malaria to humans. The other method is using genetically modified mosquitoes that can spread resistance to malaria-causing parasites by thriving and mating with wild mosquitoes. Now, in a radical approach, scientists have shifted their focus from genetic modification of malaria-causing mosquitoes to malaria-causing parasites. They have genetically modified malaria-causing parasites so that the parasites do not cause disease. Instead, they prime the immune system during the initial stage of their life cycle in the liver and before they enter the bloodstream. Malaria-causing parasites cause infection and symptoms begin to show only when they move into the bloodstream from the liver stage.",https://www.thehindu.com/sci-tech/science/preventing-malaria-using-genetically-modified-malaria-parasites/article68955241.ece,science
"Study flags threat to frogs from agroforestry
Premium",Ecologists studied the amphibians living on rock outcrops in the northern Western Ghats to determine how they respond to different agricultural practices,Rahul Karmakar,"Study flags threat to frogs from agroforestry
Premium Ecologists studied the amphibians living on rock outcrops in the northern Western Ghats to determine how they respond to different agricultural practices Agroforestry practices may be harmful to some species of endemic frogs while a few are less affected by modified habitats, a new study by researchers from the Mysuru-based Nature Conservation Foundation (NCF-India) and the Bombay Environmental Action Group (BEAG) said. The findings by Vijayan Jithin and Rohit Naniwadekar of the NCF and Manali Rane and Aparna Watve of the BEAG were published in Ecological Applications, a journal of the Ecological Society of America.",https://www.thehindu.com/sci-tech/energy-and-environment/study-flags-threat-to-frogs-from-agroforestry/article68945229.ece,science
"When for-profit companies fund research, how is science affected?
Premium","For scientists, the challenge is toeing the line between guarding their trade secrets in the current economy and advocating for transparency and reproducibility",Rohini Subrahmanyam,"When for-profit companies fund research, how is science affected?
Premium For scientists, the challenge is toeing the line between guarding their trade secrets in the current economy and advocating for transparency and reproducibility In May 2024, Google DeepMind released AlphaFold 3, a tool that could predict protein structures. It used an artificial intelligence (AI) model to predict how different proteins were shaped, how they might interact with each other and with DNA, RNA, and other biomolecules of merit. Nobel laureates John Jumper and Demis Hassabis built the new model based on DeepMind’s previous versions of the tool, namely AlphaFold and AlphaFold 2. Both those models were released open source, i.e. with their associated programming scripts and inner workings open and transparent to all. AlphaFold3 was different: its senior authors didn’t release the full code when they published their findings in Nature. How exactly the model worked was unclear to scientists who wished to probe deeper. They also couldn’t make full use of AlphaFold 3’s new abilities because its protein-drug interactions simulator wasn’t fully accessible.",https://www.thehindu.com/sci-tech/science/research-corporate-funding-intellectual-property-secrecy-benefit/article68945846.ece,science
"Science for All | Footprints of two ancient hominin species found at the same spot in Kenya
Premium","The Hindu’s weekly Science for All newsletter explains all things Science, without the jargon.",Arkatapa Basu,"Science for All | Footprints of two ancient hominin species found at the same spot in Kenya
Premium The Hindu’s weekly Science for All newsletter explains all things Science, without the jargon. (This article forms a part of the Science for All newsletter that takes the jargon out of science and puts the fun in! Subscribe now!) More than a million years ago, on the shores of what would become Lake Turkana one day in modern-day Kenya, two distinct hominin species shared a landscape teeming with life. Researchers revealed this extraordinary piece of history when they  discovered fossilised footprints near Lake Turkana, dating to the Pleistocene Epoch.",https://www.thehindu.com/sci-tech/science/science-for-all-footprints-of-two-ancient-hominin-species-found-at-the-same-spot-in-kenya/article68946757.ece,science
Scientists and astronomers meet at Raman Research Institute to explore moon as vantage point for studying the Universe,"Discussions revolved around a diverse range of topics, including understanding space weather from the moon to exploring cosmology using the moon’s radio quietness",The Hindu Bureau,"Scientists and astronomers meet at Raman Research Institute to explore moon as vantage point for studying the Universe Discussions revolved around a diverse range of topics, including understanding space weather from the moon to exploring cosmology using the moon’s radio quietness Astronomers from across the country, along with scientists, researchers from ISRO and industry discussed the possibilities of studying the cosmos from the moon, as ISRO accounted yet another lunar mission in the future. In the first of a symposium series announced by the Astronomical Society of India (ASI), researchers from the Raman Research Institute (RRI) and U.R. Rao Satellite Centre (URSC) of the Indian Space Research Organisation, organised a three-day symposium titled ‘Astronomy from Moon in the era of Indian lunar missions’ which was held at RRI over December 2 to 4.",https://www.thehindu.com/news/cities/bangalore/scientists-and-astronomers-meet-at-raman-research-institute-to-explore-moon-as-vantage-point-for-studying-the-universe/article68948159.ece,science
"After anomaly alert, ISRO sets Proba-3 mission launch to December 5",The PSLV-C59/PROBA-3 Mission is set to carry ESA’s PROBA-3 (Project for Onboard Autonomy) satellites into a highly elliptical orbit from Sriharikota,Sangeetha Kandavel,"After anomaly alert, ISRO sets Proba-3 mission launch to December 5 The PSLV-C59/PROBA-3 Mission is set to carry ESA’s PROBA-3 (Project for Onboard Autonomy) satellites into a highly elliptical orbit from Sriharikota The PSLV-C59/PROBA-3 mission, initially scheduled for launch at 16.08 IST on December 4, 2024, has been rescheduled to Thursday, December 5, 2024, at 16.12 IST due to an anomaly detected. Exactly at 3.19 p.m. the Indian Space Research Organisation (ISRO) announced on its official page on X (formerly Twitter): “Due to an anomaly detected in PROBA-3 spacecraft PSLV-C59/PROBA-3 launch rescheduled to tomorrow December 5, 2024 at 16.12 hours.” Key officials from the ISRO communicated the same to media persons gathered at the venue to witness the launch. Also read: ISRO commences revised countdown for Proba-3 mission launch",https://www.thehindu.com/sci-tech/science/proba-3-spacecraft-launch-delayed-to-december-5-due-to-anomaly-isro/article68946252.ece,science
"A beetle named Hitler: The case to change offensive animal, plant names
Premium",The species was named by amateur Austrian entomologist Oskar Scheibel as a tribute to Adolf Hitler. who had just become Germany’s chancellor,"Desalegn Chala,","A beetle named Hitler: The case to change offensive animal, plant names
Premium The species was named by amateur Austrian entomologist Oskar Scheibel as a tribute to Adolf Hitler. who had just become Germany’s chancellor Taxonomy is the science of describing, classifying and naming organisms. It organises the vast diversity of life on Earth. Species are grouped based on shared characteristics, providing a system that allows scientists to understand and communicate about the natural world. Naming species is no simple task: a scientist doesn’t just assign a name and call it a day. Taxonomy is a carefully structured process governed by strict international rules such as the International Code of Nomenclature for algae, fungi and plants.",https://www.thehindu.com/sci-tech/science/a-beetle-named-hitler-the-case-to-change-offensive-animal-plant-names/article68946135.ece,science
China scientists rush to climate-proof potatoes,"China is the world's biggest producer of potatoes, which are crucial to global food security because of their high yield relative to other staple crops.",Miscellaneous,"China scientists rush to climate-proof potatoes China is the world's biggest producer of potatoes, which are crucial to global food security because of their high yield relative to other staple crops. In a research facility in the northwest of Beijing, molecular biologist Li Jieping and his team harvest a cluster of seven unusually small potatoes, one as tiny as a quail's egg, from a potted plant. Grown under conditions that simulate predictions of higher temperatures at the end of the century, the potatoes provide an ominous sign of future food security.",https://www.thehindu.com/sci-tech/energy-and-environment/china-scientists-rush-to-climate-proof-potatoes/article68922077.ece,science
"India’s ‘One Nation, One Subscription’ plan | Explained",Is the global research ecosystem increasingly embracing open access publishing away from subscription-based models? What is an article processing charge? Do researchers own the copyrights of their work after it has been published in a journal? What are open access repositories?,Moumita  Koley,"India’s ‘One Nation, One Subscription’ plan | Explained Is the global research ecosystem increasingly embracing open access publishing away from subscription-based models? What is an article processing charge? Do researchers own the copyrights of their work after it has been published in a journal? What are open access repositories? The story so far: The Union Cabinet approved the Indian government’s ‘One Nation, One Subscription’ (ONOS) scheme on November 25. The ONOS promises to provide equitable access to scholarly journals in all public institutions.",https://www.thehindu.com/sci-tech/science/indias-one-nation-one-subscription-plan-explained/article68938128.ece,science
"ecDNA challenges law of genetics, groundbreaking new studies find
Premium",Three papers in Nature have reported how extrachromosomal DNA contributes to the progression of cancer and drug resistance; the findings also challenge a law of genetics,Manjeera Gowravaram,"ecDNA challenges law of genetics, groundbreaking new studies find
Premium Three papers in Nature have reported how extrachromosomal DNA contributes to the progression of cancer and drug resistance; the findings also challenge a law of genetics Once brushed aside as a curiosity, extrachromosomal DNA (ecDNA) is now taking centrestage in the complex field of cancer biology. Scientists first discovered it as a small fragment of genetic material in cancer cells 50 years ago. Because it was present in only 1.4% of tumours, they didn’t consider it to be important. But more sophisticated genomic techniques later revealed their mistake: one study published in 2017 revealed ecDNA is present in nearly 40% of cancer cell lines and in up to 90% of patient-derived brain tumour samples, revealing its pivotal role in cancer biology.",https://www.thehindu.com/sci-tech/science/extrachromosomal-dna-challenges-law-of-genetics-groundbreaking-studies/article68941909.ece,science
Did Venus ever have oceans? Scientists have an answer,A new study’s conclusions suggest Venus was never habitable,Miscellaneous,"Did Venus ever have oceans? Scientists have an answer A new study’s conclusions suggest Venus was never habitable Earth is an ocean world, with water covering about 71% of its surface. Venus, our closest planetary neighbor, is sometimes called Earth’s twin based on their similar size and rocky composition. While its surface is baked and barren today, might Venus once also have been covered by oceans? The answer is no, according to new research that inferred the water content of the planet’s interior - a key indicator for whether or not Venus once had oceans - based on the chemical composition of its atmosphere. The researchers concluded that the planet currently has a substantially dry interior that is consistent with the idea that Venus was left desiccated after the epoch early in its history when its surface was comprised of molten rock - magma - and thereafter has had a parched surface.",https://www.thehindu.com/sci-tech/science/did-venus-ever-have-oceans-scientists-have-an-answer/article68940988.ece,science
Cyclone Fengal was unusually hard to predict and track | Analysis,"Nature has developed a habit of delivering whiplash just as researchers are riding high on a year of successful forecasts, and 2024 has been no different",Raghu Murtugudde,"Cyclone Fengal was unusually hard to predict and track | Analysis Nature has developed a habit of delivering whiplash just as researchers are riding high on a year of successful forecasts, and 2024 has been no different As of December 2, Cyclone Fengal was still alive and kicking, and was predicted  to soak parts of north Kerala and south Karnataka (including Bengaluru) in the following days. It appeared to have retained its identity in the forecasts as it crossed peninsular India en route to the Arabian Sea. It may not reorganise into a cyclone again over the ocean, but considering the way this year has unfolded thus far, anything seems possible. In fact, nothing has been typical during 2024.",https://www.thehindu.com/sci-tech/energy-and-environment/why-was-cyclone-fengal-unusually-hard-to-predict-and-track-analysis/article68942016.ece,science
Sci-Five | The Hindu Science Quiz: On Paradoxes,This week’s Sci-five quiz is on paradoxes.,A.S. Nazir Ahamed,"Sci-Five | The Hindu Science Quiz: On Paradoxes This week’s Sci-five quiz is on paradoxes. Published - December 01, 2024 03:47 pm IST The Hindu Quizzes
                    
                            /                      
                        
                        science (general)
                    
                            /                      
                        
                        science (general)",https://www.thehindu.com/sci-tech/science/sci-five-the-hindu-science-quiz-on-paradox/article68934421.ece,science
